CRIM,ZN,NOX,RM,DIS,TAX,PTRATIO,B,LSTAT,MEDV,RM*LSTAT,CHAS
0.00632,18.0,0.538,6.575,4.09,296.0,15.3,396.9,4.98,24.0,32.743500000000004,0.0
0.02731,0.0,0.469,6.421,4.9671,242.0,17.8,396.9,9.14,21.6,58.687940000000005,0.0
0.02729,0.0,0.469,7.185,4.9671,242.0,17.8,392.83,4.03,34.7,28.95555,0.0
0.03237,0.0,0.458,6.998,6.0622,222.0,18.7,394.63,2.94,33.4,20.57412,0.0
0.06905,0.0,0.458,7.147,6.0622,222.0,18.7,396.9,5.33,36.2,38.09351,0.0
0.02985,0.0,0.458,6.43,6.0622,222.0,18.7,394.12,5.21,28.7,33.500299999999996,0.0
0.08829,12.5,0.524,6.012,5.5605,311.0,15.2,395.6,12.43,22.9,74.72916,0.0
0.14455,12.5,0.524,6.172,5.9505,311.0,15.2,396.9,19.15,27.1,118.19379999999998,0.0
0.21124,12.5,0.524,5.631,6.0821,311.0,15.2,386.63,29.93,16.5,168.53583,0.0
0.17004,12.5,0.524,6.004,6.5921,311.0,15.2,386.71,17.1,18.9,102.6684,0.0
0.22489,12.5,0.524,6.377,6.3467,311.0,15.2,392.52,20.45,15.0,130.40965,0.0
0.11747,12.5,0.524,6.009,6.2267,311.0,15.2,396.9,13.27,18.9,79.73943,0.0
0.09378,12.5,0.524,5.889,5.4509,311.0,15.2,390.5,15.71,21.7,92.51619000000001,0.0
0.62976,0.0,0.538,5.949,4.7075,307.0,21.0,396.9,8.26,20.4,49.13874,0.0
0.63796,0.0,0.538,6.096,4.4619,307.0,21.0,380.02,10.26,18.2,62.544959999999996,0.0
0.62739,0.0,0.538,5.834,4.4986,307.0,21.0,395.62,8.47,19.9,49.41398,0.0
1.05393,0.0,0.538,5.935,4.4986,307.0,21.0,386.85,6.58,23.1,39.052299999999995,0.0
0.7842,0.0,0.538,5.99,4.2579,307.0,21.0,386.75,14.67,17.5,87.8733,0.0
0.80271,0.0,0.538,5.456,3.7965,307.0,21.0,288.99,11.69,20.2,63.780640000000005,0.0
0.7258,0.0,0.538,5.727,3.7965,307.0,21.0,390.95,11.28,18.2,64.60056,0.0
1.25179,0.0,0.538,5.57,3.7979,307.0,21.0,376.57,21.02,13.6,117.0814,0.0
0.85204,0.0,0.538,5.965,4.0123,307.0,21.0,392.53,13.83,19.6,82.49595,0.0
1.23247,0.0,0.538,6.142,3.9769,307.0,21.0,396.9,18.72,15.2,114.97824,0.0
